id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest;
"1439117055454629889,1439071720585920512,2021-09-18 13:40:18 SE Asia Standard Time,2021-09-18,13:40:18,700,1256245396805951489,revolusimentel,~404:notfound~,,@tempodotco Loh loh loh kok gitu!! Apa pak jokowi fix menolak 3periode? maka kalian ikut nolak juga?? Terus buat pernyataan begitu biar rakyat simpatik??? Atau gimana sih!!! Waduh bingung saya 🤣,in,[],[],[],2,0,1,[],[],https://twitter.com/revolusimentel/status/1439117055454629889,False,,0,,,,,,,,""[{'screen_name': 'tempodotco', 'name': 'TEMPO.CO', 'id': '18129942'}]"",,,,";
"1439080039102902275,1438653933556219904,2021-09-18 11:13:12 SE Asia Standard Time,2021-09-18,11:13:12,700,1386061135783239681,himuramister,Mister.himura,,@__AnakKolong @PDemokrat faktanya skarang yg minta 3periode itu siapa? Yg kekuasaannya ingin diperpanjang siapa? Jd yg haus kekuasaan itu siapa? Napa lempar salah kesebelah.  #mikir,in,[],[],[],0,0,0,['mikir'],[],https://twitter.com/HimuraMister/status/1439080039102902275,False,,0,,,,,,,,""[{'screen_name': '__AnakKolong', 'name': 'A K ™ |', 'id': '1159689173340585984'}, {'screen_name': 'PDemokrat', 'name': 'Partai Demokrat', 'id': '248199104'}]"",,,,";
1439054167914471424,1439054167914471424,2021-09-18 09:30:24 SE Asia Standard Time,2021-09-18,09:30:24,700,957135454955909121,amitaanindira,Amita Anindira,,Presiden tolak tegas #3Periode  https://t.co/brcyOTe7x8,in,[],['https://www.instagram.com/p/CT8j7h7PORy/?utm_medium=twitter'],[],0,0,1,['3periode'],[],https://twitter.com/AmitaAnindira/status/1439054167914471424,False,,0,,,,,,,,[],,,,;
"1439052623525474304,1439052623525474304,2021-09-18 09:24:16 SE Asia Standard Time,2021-09-18,09:24:16,700,1314092306,koalisinetizen,Koalisi Netizen,,Presiden @jokowi tak minat #3Periode  https://t.co/f4nIMrfpn8,en,""[{'screen_name': 'jokowi', 'name': 'joko widodo', 'id': '366987179'}]"",[],['https://pbs.twimg.com/media/E_iKuv6VEAI--Sz.jpg'],0,1,1,['3periode'],[],https://twitter.com/KoalisiNetizen/status/1439052623525474304,False,,1,https://pbs.twimg.com/media/E_iKuv6VEAI--Sz.jpg,,,,,,,[],,,,";
"1439044722425679874,1438837006478372864,2021-09-18 08:52:52 SE Asia Standard Time,2021-09-18,08:52:52,700,784318280718659584,leonsys0305,Leon🐕🐶,,@Jayabay19479190 @jokowi @PDI_Perjuangan Dagelan monyet lg pd capeeerr menjijikkan !! Jelas2 presiden menolak 3periode,in,[],[],[],0,0,1,[],[],https://twitter.com/leonsys0305/status/1439044722425679874,False,,0,,,,,,,,""[{'screen_name': 'Jayabay19479190', 'name': 'Jayabaya', 'id': '794509735282102272'}, {'screen_name': 'jokowi', 'name': 'Joko Widodo', 'id': '366987179'}, {'screen_name': 'PDI_Perjuangan', 'name': 'PDI Perjuangan', 'id': '153407983'}]"",,,,";
"1439021435876372480,1438874737636044800,2021-09-18 07:20:20 SE Asia Standard Time,2021-09-18,07:20:20,700,595846027,duaneputra,Duane putra alFalimbani🇮🇩,,""@penghianatkm @jefsiboro @na_dirs kalau utk elektabilitas dan angka2 sy msh percaya Jokowi msh tertinggi..tp sy tdk mendukung 3periode dan  Jokowi sendiri tdk mau """"Titik"""""",in,[],[],[],0,0,0,[],[],https://twitter.com/DuanePutra/status/1439021435876372480,False,,0,,,,,,,,""[{'screen_name': 'penghianatkm', 'name': 'Identitas Luntur', 'id': '1231478692502736896'}, {'screen_name': 'jefsiboro', 'name': 'Jefri Siboro', 'id': '1241700628742549505'}, {'screen_name': 'na_dirs', 'name': 'Khazanah GNH', 'id': '3895489933'}]"",,,,";
"1438985254144921600,1438874737636044800,2021-09-18 04:56:34 SE Asia Standard Time,2021-09-18,04:56:34,700,1359084204378574853,barkalorka,Lorka Barka,,""@na_dirs sambil shopping calon boneka spt pa jo, oligarki memainkan isu 3periode lewat kodori"",in,[],[],[],0,0,0,[],[],https://twitter.com/BarkaLorka/status/1438985254144921600,False,,0,,,,,,,,""[{'screen_name': 'na_dirs', 'name': 'Khazanah GNH', 'id': '3895489933'}]"",,,,";
"1438889319020720134,1438881406826942464,2021-09-17 22:35:21 SE Asia Standard Time,2021-09-17,22:35:21,700,1403295804236832775,jeany_abigail,Abigail Jeany,,""@Candraasmara85 Cuman kadrun yang ga mengakui kinerja pak Jokowi. Maklumlah otak kadrun udah kecuci. Kita semua yang ❤Jokowi ga nyesel deh, kalo bisa biarlah 3periode u Jokowi. Karena Jokowi maka rakyat sehat makmur dan jaya. #jokowihebat #jokowikeren  #jokowigointernational #kamibersamajokowi"",in,[],[],[],2,1,6,""['jokowihebat', 'jokowikeren', 'jokowigointernational', 'kamibersamajokowi']"",[],https://twitter.com/jeany_abigail/status/1438889319020720134,False,,0,,,,,,,,""[{'screen_name': 'Candraasmara85', 'name': '🇮🇩 Candra Asmara 🇮🇩', 'id': '856022497031897088'}]"",,,,";
"1438874425722478597,1438874425722478592,2021-09-17 21:36:10 SE Asia Standard Time,2021-09-17,21:36:10,700,1395713255637585923,budionotaslim3,""terus semangat,semangat terus"",,""Brisik radikal radikul,semua agama sm dihadapan Tuhan,ditengah pandemi rakyat susah cr mkn tp OTT bajingan trs ada,KKB gak tkt trs berulah,rumor Presiden 3periode kegaduhan trs berhembus,akhirnya lupa TKA msk trs,Natuna direcokin,KKB trs menteror ayo..cpt sadar libas pengacau itu"",in,[],[],[],0,5,10,[],[],https://twitter.com/Budionotaslim3/status/1438874425722478597,False,,0,,,,,,,,[],,,,";
"1438847703933325312,1438847703933325312,2021-09-17 19:49:59 SE Asia Standard Time,2021-09-17,19:49:59,700,1314028991511060486,rezim_terbalix,EveRezmen,,Perasaan gak ada tuh yg maksa hrs berjilbab @_ekokuntadhi klw yg maksa 3periode kita semua juga pd tahu siapa orangnya🤭🙄😄,in,""[{'screen_name': '_ekokuntadhi', 'name': 'eko kuntadhi', 'id': '198412976'}]"",[],[],0,0,0,[],[],https://twitter.com/rezim_terbalix/status/1438847703933325312,False,https://twitter.com/democrazymedia/status/1438706778791976960,0,,,,,,,,[],,,,";
"1438812664864534529,1438640511175122944,2021-09-17 17:30:45 SE Asia Standard Time,2021-09-17,17:30:45,700,820916849650995200,bayouiraone1,sales panci,,@inisifanii Apa jadinya klo mpe 3periode....,in,[],[],[],0,0,0,[],[],https://twitter.com/Bayouiraone1/status/1438812664864534529,False,,0,,,,,,,,""[{'screen_name': 'inisifanii', 'name': 'Perhatikan, Fani!', 'id': '1352115360762236929'}]"",,,,";
"1438790216450379781,1438476618855587840,2021-09-17 16:01:33 SE Asia Standard Time,2021-09-17,16:01:33,700,1396465091868913667,rohmat45793425,Rohmat,,@OlaSolahudin @detikcom Kl rakyat yg menghendaki bolehkan ? Kl dilanjutkan 3periode,in,[],[],[],1,0,0,[],[],https://twitter.com/Rohmat45793425/status/1438790216450379781,False,,0,,,,,,,,""[{'screen_name': 'OlaSolahudin', 'name': 'Ola Solahudin', 'id': '1363841082484662273'}, {'screen_name': 'detikcom', 'name': 'detikcom', 'id': '69183155'}]"",,,,";
"1438761668293521418,1438745725228118016,2021-09-17 14:08:07 SE Asia Standard Time,2021-09-17,14:08:07,700,931757910106845185,tanyaazka,Azka Akbar,,""@Boediantar4 Ya jelas pengalihan isu.. Isu besar nya kemungkinan amandemen UUD, utk 3periode.."",in,[],[],[],0,0,1,[],[],https://twitter.com/tanyaAzka/status/1438761668293521418,False,,0,,,,,,,,""[{'screen_name': 'Boediantar4', 'name': 'boediantara', 'id': '1383750727575605257'}]"",,,,";
"1438758947167502338,1438446350199365632,2021-09-17 13:57:18 SE Asia Standard Time,2021-09-17,13:57:18,700,3324957030,sigit0954,@sigit,,@textdariJKT @Fahrizaal_ @detikcom Isinya gda tulisan beliau gamau...dia cuma bilang ga mikir bkn brti ga mau bro..klo yg skrg maju 3periode beliau jelas nolak..ok,in,[],[],[],1,0,0,[],[],https://twitter.com/sigit0954/status/1438758947167502338,False,,0,,,,,,,,""[{'screen_name': 'textdariJKT', 'name': 'textdariJKT', 'id': '1064366120885411841'}, {'screen_name': 'Fahrizaal_', 'name': """"L'Arc-en-Ciel XXX"""", 'id': '434761273'}, {'screen_name': 'detikcom', 'name': 'detikcom', 'id': '69183155'}]"",,,,";
